instructions,LLC-stores,L1-icache-load-misses,branch-load-misses,node-load-misses,rd_req,rd_bytes,wr_req,wr_bytes,flush_operations,rd_total_times,wr_total_times,flush_total_times,label
15469989.0,58176.0,12422.0,71133.0,0.0,50,246272,0,0,0,3843728,0,0,1
15590137.0,62508.0,4069.0,148024.0,0.0,63,258048,0,0,0,3684136,0,0,1
16536855.0,63664.0,7536.0,156380.0,1.0,54,221184,0,0,0,4583559,0,0,1
18158772.0,67457.0,3975.0,163904.0,0.0,98,454144,1,4096,0,15567851,4668261,0,1
17902186.0,56125.0,16878.0,144354.0,2.0,87,1798144,0,0,0,5535711,0,0,1
56240064.0,35086.0,5965.0,145526.0,0.0,77,315392,0,0,0,3941371,0,0,1
52826267.0,35838.0,830210.0,132707.0,1.0,42,172032,0,0,0,2452114,0,0,1
28480816.0,39129.0,1081948.0,118862.0,1.0,91,661504,0,0,0,4923288,0,0,1
29948120.0,39013.0,1153649.0,114724.0,0.0,34,139264,1,28672,0,8485461,3813764,0,1
52104524.0,9175.0,1202016.0,104202.0,0.0,30,122880,14,1200128,2,4721318,7904884,5353677,1
45712979.0,10717.0,1164205.0,105217.0,0.0,25,1658880,0,0,0,2151661,0,0,1
46583342.0,11401.0,1423003.0,105929.0,0.0,8,667648,2,8192,0,617149,6302135,0,1
26853098.0,9428.0,1387774.0,104242.0,0.0,67,274432,0,0,0,4494587,0,0,1
68299056.0,10598.0,1160418.0,147556.0,2.0,67,274432,0,0,0,4033282,0,0,1
28269195.0,37686.0,1158665.0,152996.0,0.0,60,1118208,0,0,0,5344679,0,0,1
23301780.0,42002.0,872857.0,159848.0,0.0,61,249856,0,0,0,4225883,0,0,1
19727277.0,11910.0,454026.0,110125.0,0.0,71,290816,0,0,0,5211465,0,0,1
21996701.0,9676.0,194298.0,109508.0,0.0,65,487424,0,0,0,4151449,0,0,1
16475999.0,13365.0,323887.0,89279.0,0.0,65,266240,0,0,0,4301708,0,0,1
15259603.0,15695.0,503451.0,80992.0,0.0,64,289792,0,0,0,4161070,0,0,1
25291509.0,33016.0,832869.0,99805.0,0.0,42,404480,7,688128,0,2847508,4696940,0,1
28966783.0,58791.0,893227.0,73595.0,1.0,61,290816,1,10240,0,9309564,5869331,0,1
26943481.0,18512.0,891046.0,71088.0,1.0,59,270336,0,0,0,4163468,0,0,1
27684349.0,14451.0,911378.0,133401.0,0.0,66,270336,0,0,0,3408185,0,0,1
28110821.0,8615.0,745136.0,131442.0,0.0,58,272384,0,0,0,3277870,0,0,1
26527781.0,11156.0,695293.0,101469.0,0.0,45,771072,0,0,0,2946572,0,0,1
21472017.0,11252.0,341740.0,103003.0,0.0,82,389120,0,0,0,4893569,0,0,1
24129429.0,12038.0,750548.0,99825.0,0.0,25,102400,0,0,0,1483477,0,0,1
24394900.0,23208.0,784143.0,156651.0,0.0,29,323072,0,0,0,2226218,0,0,1
35372508.0,33080.0,899162.0,161491.0,0.0,55,299008,0,0,0,2885706,0,0,1
40578989.0,42754.0,761089.0,178032.0,0.0,35,437248,0,0,0,2454309,0,0,1
53237933.0,13018.0,1212463.0,156537.0,1.0,52,212992,0,0,0,3535260,0,0,1
42795135.0,9869.0,1136703.0,143829.0,0.0,85,382464,0,0,0,3985140,0,0,1
47514566.0,12102.0,1367108.0,142341.0,1.0,58,871424,0,0,0,3941830,0,0,1
39488524.0,11676.0,1359112.0,128504.0,0.0,143,1436160,0,0,0,6196883,0,0,1
51748307.0,61783.0,942341.0,141331.0,1.0,173,708608,0,0,0,7627400,0,0,1
48549341.0,65142.0,677972.0,162475.0,2.0,94,441856,8,626688,1,23616649,8595506,1224707,1
50036077.0,28518.0,51882.0,155177.0,0.0,64,385536,0,0,0,3998096,0,0,1
36044733.0,10494.0,4148.0,109848.0,0.0,138,712704,0,0,0,6359354,0,0,1
23780222.0,11547.0,91785.0,102462.0,0.0,91,358400,6,59392,0,9882383,5428597,0,1
15413849.0,11273.0,59972.0,102297.0,0.0,91,372736,0,0,0,4513952,0,0,1
14991794.0,13921.0,4120.0,102455.0,1.0,47,192512,0,0,0,3256077,0,0,1
